Product Description,Price_before_discount,Price_after_discount,Discount,Rating,Number of Reviews,Dispatchment
"HP Elitebook 2570p Laptop 12.5"" Intel Core i7 4GB RAM 500GB HDD Notebook PC Refurbished glossy silver 12.5Inch","KSh 29,999","KSh 23,899",20.0,5,0,Local Dispatch
"NEW HP ELITEBOOK 725 12.5""AMD A10 4GB RAM 500GB 2GB RADEON GRAPHIC HP Laptop Notebook black 12.5 inch","KSh 34,999","KSh 33,399",4.0,5,0,Local Dispatch
"Refurbished Hp 310 11.6""Intel 4GB RAM 128GB SSD HP Laptop Notebook black 11.6inch","KSh 32,999","KSh 27,999",15.0,5,0,Local Dispatch
"Asus X540M 15.6"" Laptop Celeron 4GB RAM 500GB HDD DOS Notebook black 15.6 inch","KSh 39,999","KSh 31,899",20.0,5,0,Local Dispatch
"Refurbished Lenovo thinkpad t460s 14""Intel core i5 12GB RAM 240GB SSD Lenovo Laptop Notebook black 14inch","KSh 58,999","KSh 52,999",10.0,5,0,Local Dispatch
"Refurbished HP ELITEBOOK 348 12.5""Intel core i5 6th 4GB RAM 500GB HDD HP Laptop Notebook silver 12.5 inch","KSh 35,899","KSh 32,899",8.0,5,0,Local Dispatch
"HP pro X2 i5 12.5"" 8GB RAM 256GB SSD Touchscreen Detachable Keyboard HP Laptop Refurbished black 12.5inch","KSh 42,999","KSh 32,999",23.0,5,0,Local Dispatch
Asus X543U Laptop Intel Core i3 15.6'' 4GB RAM 1TB HDD HD Laptop Windows 10 black 15.6 inch,"KSh 48,999","KSh 43,999",10.0,5,0,Local Dispatch
"Refurbished HP Probook 450 15.6"" INTEL i5 8GB RAM 750GB HDD HP Laptop Notebook windows silver 15.6 inch","KSh 56,699","KSh 55,599",1.0,5,0,Local Dispatch
14.1-inch Internet Saiyang four core notebook OEM customized super laptop gray 14.1 inch 2G+32G,"KSh 39,999","KSh 23,859",40.0,5,0,Oversea Shipment
Refurbished laptop /Apple MacBook Pro MD101CH/A 13-inch i5 8gb memory 128gb flash memory,"KSh 107,186","KSh 47,770",55.0,5,0,Oversea Shipment
"15.6 ""backlit full keyboard business office laptop silver J3455 8GB+120GB","KSh 45,888","KSh 38,205",16.0,5,0,Oversea Shipment
"HP Refurb EliteBook Folio 9470m G1 14"" i7 4GB 500GB HDD Win Installed HP Laptop silver one size","KSh 35,999","KSh 32,999",8.0,3,1,Local Dispatch
ROG Ice Sharp 15.6 inch 120 Hz Narrow Border Game Laptop Computer black 15.6,"KSh 600,000","KSh 309,999",48.0,5,0,Oversea Shipment
Xiaomi Mi Ruby Laptop 15.6 inch Windows 10 Intel Core i5 8GB RAM 512GB SSD 1.0MP Camera DARK GRAY,"KSh 114,474","KSh 79,999",30.0,5,0,Oversea Shipment
"HP SPECTRE 13 X360 Laptop 13"" CORE i5 8GB 256GB SSD Refurbished hp laptop Notebook Silver 13 inch","KSh 140,999","KSh 64,999",53.0,1,1,Local Dispatch
Xiaomi RedmiBook 14 inch Notebook Windows 10 OS / Intel Core i5-10210U 4.2GHz CPU / 8GB DDR4 RAM + 512GB SSD Laptop Enhanced Edition SILVER,"KSh 136,587","KSh 111,033",18.0,5,0,Oversea Shipment
Xiaomi RedmiBook 14 inch Notebook Windows 10 OS / Intel Core i5-10210U 4.2GHz CPU / 8GB DDR4 RAM + 256GB SSD Laptop Enhanced Edition SILVER,"KSh 124,405","KSh 101,135",18.0,5,0,Oversea Shipment
Teclast F5 Laptop 11.6 inch 360 Degree Rotating To GRAY CLOUD EU PLUG,"KSh 91,201","KSh 68,953",24.0,5,0,Oversea Shipment
HUAWEI Honor MagicBook 2019 14.0 inch Laptop Quad Core 2.1GHz 8GB RAM 512GB SSD 1.0MP Camera SILVER,"KSh 112,768","KSh 68,999",38.0,5,0,Oversea Shipment
Teclast F5 Laptop 11.6 inch Windows 10 Quad Core 1.1GHz CPU 8GB 256GB SSD 360 Degree Rotation GRAY CLOUD,"KSh 56,643","KSh 39,999",29.0,5,0,Oversea Shipment
T-bao X8 Plus Laptop 15.6 inch Windows 10 English Version Intel Celeron N4100 Quad Core 1.1GHz 8GB RAM DDR4 128GB SSD HDMI 0.3MP Front Camera SILVER,"KSh 50,530","KSh 41,112",18.0,5,0,Oversea Shipment
Xiaomi RedmiBook 14 inch Notebook 8GB / 256GB Laptop Ryzen Edition SILVER RYZEN 5 3500U+8GB+256GB,"KSh 96,762","KSh 78,638",18.0,5,0,Oversea Shipment
Xiaomi Mi Air 2019 13.3 inch Laptop Intel Core i5-8250U 1.6GHz 8GB RAM 256GB SSD Fingerprint Sensor GRAY,"KSh 136,391","KSh 84,999",37.0,5,0,Oversea Shipment
T-bao Tbook R8 Laptop 15.6 inch Windows 10 English SAPPHIRE BLUE,"KSh 34,922","KSh 28,431",18.0,5,0,Oversea Shipment
HUAWEI MateBook X Pro 2019 Laptop 13.9 inch Windows 10 Intel Core i5 - 8265U Quad Core 1.6GHz CPU 8GB RAM 512GB SSD 3K Full Screen 1.0MP Camera Fingerprint Sensor ROSE,"KSh 246,150","KSh 200,053",18.0,5,0,Oversea Shipment
HUAWEI MateBook X Pro 2019 Laptop 13.9 inch Windows 10 Intel Core i5 - 8265U Quad Core 3.9GHz 8GB RAM 512GB SSD DARK GRAY,"KSh 212,688","KSh 172,865",18.0,5,0,Oversea Shipment
Xiaomi RedmiBook 14 inch Laptop Windows 10 Home Version OS Intel Core i5-8265 Quad Core 1.6GHz CPU NVIDIA GeForce MX250 GPU 8GB RAM 256GB SSD SILVER,"KSh 109,346","KSh 88,900",18.0,5,0,Oversea Shipment
Xiaomi RedmiBook 14 inch Notebook Windows 10 OS / Intel Core i7-10510U 1.8GHz 4.9GHz CPU / 8GB DDR4 RAM + 512GB SSD Laptop Enhanced Edition SILVER,"KSh 149,983","KSh 121,918",18.0,5,0,Oversea Shipment
Xiaomi Mi Pro 2019 Laptop 15.6 inch Windows 10 Home Version Intel Core i5 - 8250U Quad Core 1.6GHz CPU 8GB RAM 256GB SSD 1.0MP Front Camera Fingerprint Sensor GRAY,"KSh 150,018","KSh 121,946",18.0,5,0,Oversea Shipment
15.6inch IPS Narrow Bezel laptop Intel i3 Quad Core 4g Ram 64g ssd Ultra-thin&light laptops notebook sliver 4g+64g ssd,"KSh 49,000","KSh 31,999",34.0,5,0,Oversea Shipment
14inch IPS Narrow Bezel laptop Intel cpu Quad Core 8g Ram 64/128ssd Ultra-thin&light laptop notebook sliver 8g+256g ssd,"KSh 75,000","KSh 39,000",48.0,2,1,Oversea Shipment
"Asus X541S Notebook Laptop: Intel Celeron, 4GB/500GB, Wifi,Bt,Dos black 15.6"" Black, 14 Inch","KSh 32,000","KSh 28,299",11.0,5,3,Local Dispatch
LENOVO ideapad130-15IKB Laptop Core i3 4GB Ram 1TB HDD 15.6 Inches Black 2,"KSh 48,000","KSh 45,161",5.0,5,0,Local Dispatch
